Leaf: 1  Time: 5.033
Leaf: 2  Time: 5.029
Leaf: 3  Time: 5.833
Leaf: 4  Time: 4.74
Leaf: 5  Time: 4.759
Leaf: 6  Time: 5.106
Leaf: 7  Time: 4.622
Leaf: 8  Time: 4.633
Leaf: 9  Time: 4.63
Leaf: 10  Time: 5.323
Leaf: 11  Time: 4.628
Leaf: 12  Time: 4.835
Leaf: 13  Time: 5.66
Leaf: 14  Time: 4.848
Leaf: 15  Time: 6.089
Leaf: 16  Time: 5.753
Leaf: 17  Time: 5.173
Leaf: 18  Time: 5.39
Leaf: 19  Time: 5.606
Leaf: 20  Time: 4.785
Leaf: 21  Time: 7.059
Leaf: 22  Time: 5.338
Leaf: 23  Time: 6.267
Leaf: 24  Time: 5.399
Leaf: 25  Time: 4.914
Leaf: 26  Time: 5.559
Leaf: 27  Time: 4.815
Leaf: 28  Time: 5.848
Leaf: 29  Time: 8.01
Leaf: 30  Time: 5.391
Leaf: 31  Time: 4.913
Leaf: 32  Time: 4.759
Leaf: 33  Time: 5.144
Leaf: 34  Time: 4.638
Leaf: 35  Time: 4.709
Leaf: 36  Time: 4.88
Leaf: 37  Time: 5.099
Leaf: 38  Time: 4.714
Leaf: 39  Time: 4.771
Leaf: 40  Time: 4.864
Leaf: 41  Time: 5.074
Leaf: 42  Time: 4.77
Leaf: 43  Time: 4.917
Leaf: 44  Time: 4.683
Leaf: 45  Time: 4.748
Leaf: 46  Time: 4.982
Leaf: 47  Time: 4.647
Leaf: 48  Time: 5.014
Leaf: 49  Time: 5.046
Leaf: 50  Time: 4.902
