Leaf: 1  Time: 0.335
Leaf: 2  Time: 0.312
Leaf: 3  Time: 0.489
Leaf: 4  Time: 0.327
Leaf: 5  Time: 0.242
Leaf: 6  Time: 0.238
Leaf: 7  Time: 0.487
Leaf: 8  Time: 0.298
Leaf: 9  Time: 0.24
Leaf: 10  Time: 0.344
Leaf: 11  Time: 0.293
Leaf: 12  Time: 0.286
Leaf: 13  Time: 0.295
Leaf: 14  Time: 0.277
Leaf: 15  Time: 0.41
Leaf: 16  Time: 0.301
Leaf: 17  Time: 0.255
Leaf: 18  Time: 0.292
Leaf: 19  Time: 0.373
Leaf: 20  Time: 0.29
Leaf: 21  Time: 0.239
Leaf: 22  Time: 0.349
Leaf: 23  Time: 0.256
Leaf: 24  Time: 0.243
Leaf: 25  Time: 0.236
Leaf: 26  Time: 0.371
Leaf: 27  Time: 0.238
Leaf: 28  Time: 0.234
Leaf: 29  Time: 0.236
Leaf: 30  Time: 0.244
Leaf: 31  Time: 0.237
Leaf: 32  Time: 0.241
Leaf: 33  Time: 0.235
Leaf: 34  Time: 0.329
Leaf: 35  Time: 0.489
Leaf: 36  Time: 0.274
Leaf: 37  Time: 0.242
Leaf: 38  Time: 0.239
Leaf: 39  Time: 0.242
Leaf: 40  Time: 0.236
Leaf: 41  Time: 0.242
Leaf: 42  Time: 0.27
Leaf: 43  Time: 0.267
Leaf: 44  Time: 0.236
Leaf: 45  Time: 0.338
Leaf: 46  Time: 0.246
Leaf: 47  Time: 0.239
Leaf: 48  Time: 0.247
Leaf: 49  Time: 0.246
Leaf: 50  Time: 0.242
