Leaf: 1  Time: 0.656
Leaf: 2  Time: 0.37
Leaf: 3  Time: 0.323
Leaf: 4  Time: 0.302
Leaf: 5  Time: 0.29
Leaf: 6  Time: 0.285
Leaf: 7  Time: 0.279
Leaf: 8  Time: 0.279
Leaf: 9  Time: 0.271
Leaf: 10  Time: 0.262
Leaf: 11  Time: 0.255
Leaf: 12  Time: 0.24
Leaf: 13  Time: 0.233
Leaf: 14  Time: 0.23
Leaf: 15  Time: 0.228
Leaf: 16  Time: 0.225
Leaf: 17  Time: 0.222
Leaf: 18  Time: 0.221
Leaf: 19  Time: 0.221
Leaf: 20  Time: 0.219
Leaf: 21  Time: 0.219
Leaf: 22  Time: 0.218
Leaf: 23  Time: 0.217
Leaf: 24  Time: 0.216
Leaf: 25  Time: 0.215
Leaf: 26  Time: 0.214
Leaf: 27  Time: 0.214
Leaf: 28  Time: 0.212
Leaf: 29  Time: 0.209
Leaf: 30  Time: 0.212
Leaf: 31  Time: 0.21
Leaf: 32  Time: 0.21
Leaf: 33  Time: 0.209
Leaf: 34  Time: 0.38
Leaf: 35  Time: 0.271
Leaf: 36  Time: 0.242
Leaf: 37  Time: 0.252
Leaf: 38  Time: 0.237
Leaf: 39  Time: 0.233
Leaf: 40  Time: 0.229
Leaf: 41  Time: 0.307
Leaf: 42  Time: 0.372
Leaf: 43  Time: 0.271
Leaf: 44  Time: 0.224
Leaf: 45  Time: 0.218
Leaf: 46  Time: 0.216
Leaf: 47  Time: 0.212
Leaf: 48  Time: 0.205
Leaf: 49  Time: 0.203
Leaf: 50  Time: 0.196
